Unnamed: 0,date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
1909,2019-04-23,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True
1910,2019-04-24,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True
1911,2019-04-25,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True
1912,2019-04-26,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True
1913,2019-04-27,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1914,2019-04-28,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1915,2019-04-29,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1916,2019-04-30,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1917,2019-05-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1918,2019-05-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1919,2019-05-03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1920,2019-05-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1921,2019-05-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1922,2019-05-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1923,2019-05-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1924,2019-05-08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1925,2019-05-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1926,2019-05-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927,2019-05-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1928,2019-05-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1929,2019-05-13,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1930,2019-05-14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1931,2019-05-15,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1932,2019-05-16,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1933,2019-05-17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1934,2019-05-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1935,2019-05-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1936,2019-05-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1937,2019-05-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1938,2019-05-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1939,2019-05-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1940,2019-05-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1941,2019-05-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1942,2019-05-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1943,2019-05-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1944,2019-05-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1945,2019-05-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1946,2019-05-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1947,2019-05-31,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1948,2019-06-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1949,2019-06-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1950,2019-06-03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1951,2019-06-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1952,2019-06-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1953,2019-06-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1954,2019-06-07,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1955,2019-06-08,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1956,2019-06-09,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1957,2019-06-10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1958,2019-06-11,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False
1959,2019-06-12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1960,2019-06-13,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1961,2019-06-14,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1962,2019-06-15,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1963,2019-06-16,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1964,2019-06-17,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1965,2019-06-18,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1966,2019-06-19,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1967,2019-06-20,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1968,2019-06-21,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1969,2019-06-22,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1970,2019-06-23,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1971,2019-06-24,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1972,2019-06-25,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1973,2019-06-26,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1974,2019-06-27,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
1975,2019-06-28,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
1976,2019-06-29,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
1977,2019-06-30,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
1978,2019-07-01,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,False
1979,2019-07-02,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,False
1980,2019-07-03,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,False
1981,2019-07-04,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
1982,2019-07-05,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
1983,2019-07-06,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
1984,2019-07-07,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
1985,2019-07-08,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1986,2019-07-09,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1987,2019-07-10,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1988,2019-07-11,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1989,2019-07-12,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1990,2019-07-13,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1991,2019-07-14,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1992,2019-07-15,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1993,2019-07-16,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1994,2019-07-17,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1995,2019-07-18,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1996,2019-07-19,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1997,2019-07-20,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1998,2019-07-21,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1999,2019-07-22,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2000,2019-07-23,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2001,2019-07-24,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2002,2019-07-25,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
