uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
005056ba-7cb6-1ed2-bceb-73c545544d25,star Tankstelle,STAR,Bahnstraße,5,52355,Düren,50.788315,6.468721,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-01
682d7a67-0936-4ec0-b08c-4fef7a64c421,bft Viersen,bft,Ernst-Moritz-Arndt-Str.,81,41747,Viersen,51.2453,6.39483,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-73fe1179cd25,ORLEN Tankstelle,ORLEN,Reeser Landstraße,15,46483,Wesel,51.663332,6.609627,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-74dffc2ecd25,star Tankstelle,STAR,Augustastraße,37,46537,Dinslaken,51.580879,6.729998,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
671fdcc9-81a1-4870-ad5b-782bb1b3fb38,Aral Tankstelle,ARAL,Schottelstraße,55,47877,Willich,51.2808647,6.467419,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-7519b4d04d25,star Tankstelle,STAR,Schmachtendorfer Straße,125,46147,Oberhausen,51.541306,6.818245,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
66d35491-34b5-4e69-ab8e-f6290ef419e3,TotalEnergies Leverkusen,TotalEnergies,Berliner Str. ,25,51377,Leverkusen,51.043054,7.07234,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
66cdf134-3350-4df4-bde4-f9e0653e8edb,bft Eilendorf,bft,Von-Coels-Str.,137-139,52080,Aachen,50.7773,6.15684,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":62,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":65,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
66b0ef10-63ee-4ede-9c3d-05f576baf5aa,TotalEnergies Overath,TotalEnergies,Lindlarer Str. ,143,51491,Overath,50.962701,7.244351,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
6691f5e3-0d79-4c41-b540-18a82eff3218,bft Wuppertal,bft,Friedrich-Ebert-Str.,304,42117,Wuppertal,51.2497,7.1125,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":30,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":1,""periods"":[{""startp"":""09:00"",""endp"":""20:00""}]}]}",2023-05-01
