uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
a3e1990e-2b70-4e0f-ac7b-6b810c116437,Shell Selfkant Selfkantstr. 87,Shell,Selfkantstr.,87,52538,Selfkant,51.030053,5.956309,2017-12-30 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
242e02a3-cc2a-43bd-af84-90f76cefe920,Shell Wegberg Heinsberger Str. 37,Shell,Heinsberger Str.,37,41844,Wegberg,51.126373,6.192198,2017-12-30 23:30:06+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-01
a4a20126-e69c-4c1b-9b9c-ee764f3f7e00,PM Dueren Euskirchener Str. 74,PM,Euskirchener Str.,74,52351,Dueren,50.802299,6.495086,2017-12-30 23:30:06+01,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",2023-05-01
8a228eb8-9da4-4b81-aa10-29d966bcb52b,PM Rheinberg Rheinberger Str. 373,PM,Rheinberger Str.,373,47495,Rheinberg,51.523253,6.680091,2018-01-03 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""20:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""08:00"",""endp"":""20:00""}]}]}",2023-05-01
83a5307a-01fb-489e-b116-9f4ea329fabd,PM Recklinghausen Overbergstr. 33,PM,Overbergstr.,33,45663,Recklinghausen,51.58622,7.229777,2018-01-03 23:30:06+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""09:00"",""endp"":""20:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""20:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]}]}",2023-05-01
4cea92cd-9580-4f9a-bb04-1e31f3fad5bb,"BOCHOLT, EINTRACHTSTR.",PM,EINTRACHTSTR. 54,,46397,BOCHOLT,51.843311,6.622115,2018-01-03 23:30:06+01,{},2023-05-01
0a61ec4b-4587-4db6-9efe-416539e33573,PM Raesfeld Schwietering 1,PM,Schwietering,1,46348,Raesfeld,51.76698,6.850833,2018-01-03 23:30:06+01,{},2023-05-01
d08f7052-f3cf-4374-b96b-ee46b55adfcd,Shell Meerbusch Xantener Str. 49,Shell,Xantener Str.,49,40670,Meerbusch,51.285218,6.659646,2018-01-06 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
01094bd9-6b54-4d77-962c-d6cea6221578,Shell Geldern Burgstr. 12,Shell,Burgstr.,12,47608,Geldern,51.516603,6.316007,2018-01-06 23:30:06+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""20:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
758813d3-4bbc-4bf2-b7be-ecc7c212c3d8,Shell Bottrop Im Fuhlenbrock 137,Shell,Im Fuhlenbrock,137,46242,Bottrop,51.531166,6.891594,2018-01-09 23:30:06+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:00"",""endp"":""21:45""}]},{""applicable_days"":192,""periods"":[{""startp"":""09:00"",""endp"":""20:45""}]}]}",2023-05-01
